"사업대분류명","사업중분류명","사업소분류명","사업명","사업내용","이용대상내용","이용방법내용","운영시간내용","문의처내용","대상아동나이","대상관심","대상지역","자세히보기사이트주소","신청하기사이트주소"
"양육","가사지원"," ","외국인 가사관리사 시범사업(연장)","서울지역 맞벌이 가구 등을 대상으로 외국인 가사관리사가 양육가정의 가사와 육아를 제공하는 서비스 - (서비스 유형) 시간제(4?6시간), 종일제(8시간)    * 이용가능일 : 월~금, 이용가능시간 : 08:00~20:00 - (서비스 내용) 외국인 가사관리사가 출퇴근 하면서 자녀돌봄 및 그와 관련된 가사활동 제공","만 12세(2012.1.1.이후 출생)이하 자녀를 두었거나 출산 예정인 가정 ※ 한부모, 다자녀, 맞벌이, 임신부가 있는 가정 우선 이용자 선정","서비스 제공기관 홈페이지(홈스토리생활, 휴브리스)에서 상시신청","o 운영기간    - (1차시범) 2024.9.3 ~ 2025.2.28., 6개월   - (시범연장) 2025.3.~","서울시 다산콜센터(02-120)","0세 ~ 12세","양육 - 가사지원","서울시","https://umppa.seoul.go.kr/hmpg/chpo/noti/bordContDetail.do?mode=W&bbs_no=1&pst_no=1D54BCF35A2A35A3E063A602216284C6","."
"임신","건강지원"," ","행복맘 지원 손목닥터9988 운영( 사업종료)","스마트워치와 전용 앱을 통한 건강관리 서비스 제공","’24년도 출산 경험이 있는 서울시민","특별모집 신청 시기(잠정 ’24.8월)에 손목닥터9988 앱 또는 홈페이지 통해 신규 회원가입 후 배송된 스마트워치와 앱 연동하여 서비스 이용 ※ 휴대폰 앱 또는 개인워치(갤럭시, 애플)로 참여 희망자는 상시 모집 중","","손목닥터 9988 고객센터 (1811-9988)","연령무관","임신 - 건강지원","서울시","https://onhealth.seoul.go.kr/","https://onhealth.seoul.go.kr/"
"육아","돌봄인프라"," ","서울형 아침돌봄 키움센터","아침 7~9시 등교 준비 및 등교 동행","아침돌봄이 필요한 6~12세 아동 혹은 초등학생","각 센터 전화 신청접수 - 성동4호점 : 02-2297-9736 - 서대문4호점 : 02-379-0709 - 마포9호점 : 02-322-2311 - 은평8호점 : 02-6953-2148 - 중랑1호점 : 02-435-2157 - 노원12호점 : 02-939-1918 - 강서7호점 : 02-2699-9713 - 구로15호점 : 02-2683-7942 - 동작3호점 : 02-585-0406 - 강동6호점 : 02-488-5929","주중 07:00~09:00","다산콜센터 02-120","6세 ~ 12세","육아 - 돌봄인프라","서울시","https://umppa.seoul.go.kr/hmpg/chpo/noti/bordContDetail.do?mode=W&bbs_no=1&pst_no=1A9DE49A31E9821FE063A60221620A3C","https://umppa.seoul.go.kr/icare/user/kiumCareResve/kiumResveManage/BD_selectMornCareResveList.do"
"육아","건강지원"," ","서울아이발달지원센터","발달선별검사를 통한 발달지연 아동 조기발견 발달검사 후 아동별(정상, 관찰필요 아동, 도움필요 아동) 맞춤형 상담 및 교육, 재평가, 연계치료 등 제공","어린이집 재원아동 및 가정양육아동","발달검사 예약 : 서울아이발달지원센터 홈페이지(www.seoul-i.kr) 온라인 신청","주간(월~금 09~18시/토 10~17시), 야간(화?목 18~20시)","서울아이 발달지원센터(02-3280-6311)","연령무관","육아 - 건강지원","서울시","https://www.seoul-i.kr/","."
"육아","건강지원"," ","다태아 안심 보험 지원","- 보험가입 : ’24. 1. 1. 부터 출생한 서울시 거주 다태아(쌍둥이)  <b class='font-color-primary'>자동가입</b>     ※ 타시도에서 출생한 다태아 서울시 전입시 자동가입, 서울시 거주 다태아 출생아 타시도 전출시 자동해지     ※ 타보험과 관계없이 중복 보장 가능 - 보장기간 : 출생일로부터 2년      ※  보험금 청구는 보험사고 발생시점으로부터 3년 이내에 가능 - 주요보장 : 응급실 내원비, 특정 전염병 진단비, 골절?화상 수술비, 상해 또는 질병치료 입원비, 암진단비 등 19개 항목 최대 1,000만원 지급      ※ 위 내용은 '25년 출생 기준이며, 정확한 세부 보장내용은 계약보험사(메리츠화재보험) 약관 확인 필요","'24. 1. 1. 부터 출생한 서울시 거주(주민등록) 다태아(쌍둥이)","- 보험료 청구 접수창구 : 메리츠화재보험 웹사이트(<a	href='http://mbi.seoul.insboon.com'	target='_blank'>mbi.seoul.insboon.com</a>) 등 - 구비서류 : 보험금 청구서, 주민등록등본, 출생증명서, 진료비영수증, 통장사본 등","","메리츠화재보험 고객센터(☎ 1522-6545) 서울시여성가족재단(810-5219)","연령무관","육아 - 건강지원","서울시",".","http://mbi.seoul.insboon.com"
"출산","돌봄지원"," ","서울형 산후조리경비 지원","출산에 소요되는 경제적 부담을 경감하고, 출산 이후 산모의 건강권을 확보하기 위하여 산후조리경비 지원<br> <b class='font-size-4'>지원내용 :</b> 2026. 1. 1. 출생자녀부터 자녀 수에 따라 바우처 차등 지원 ? 첫째 100만원, 둘째 120만원, 셋째 이상 150만원 ? 다태아 유?사산 산모의 경우 단태아 기준으로 100만원   <b class='font-color-primary'>(산후조리경비 지원 사용처에서 바우처 사용)</b> <b class='font-color-primary'>★ 현금지급 불가</b> ※ 단, 아래의 경우 현금지급(<a href=https://umppa.seoul.go.kr/hmpg/sprt/bzin/bzmgComtList.do target=new><b class='font-color-purple'>몽땅정보통 온라인 신청</b></a> 후 산후조리경비 지원 대리수령 신청서 관할 주민센터 방문 제출) 1. 성년후견개시, 한정후견개시 또는 특정후견개시 심판이 확정된 경우 2. 채무불이행으로 금전채권이 압류된 경우 3. 기초생활보장 수급자의 경우 압류방지 전용통장만 소지한 경우  <b class='font-size-4'>지원방법 :</b>협약카드사(5개사 중 택1)의 산모 본인명의 신용(체크)카드에 바우처 지원금 지급 * 협약카드사 : 신한카드(국민행복카드만 신청가능), 삼성카드, KB국민카드, 우리카드, BC카드(IBK기업은행, 신협, 새마을금고, 우체국, NH농협 BC국민행복카드)<br> <b class='font-size-4'> 신청방법</b>  ? (온라인) 지원대상자가 몽땅정보통 홈페이지에서 신청(<b class='font-color-primary'>★ 본인 명의 휴대폰으로 본인 인증</b>) * 본인 외 대리신청 불가  <b>구비서류 </b> 1. 가족관계증명서(산모 중심, ※ 외국인 산모의 경우 출생자녀 중심)    ? 발급 방법 : 온라인 발급 (무료) <a href='https://efamily.scourt.go.kr/index.jsp' target='_blank'><b class='font-color-purple'>대법원 전자가족관계등록시스템</b></a>에 접속한 후 산모의 공동인증서 등으로 로그인 후 발급 2. 유산?사산의 경우 의료기관에서 발급한 유산?사산 사실이 기재된 진단서 ※ 임신확인서로 제출할 경우 서류명에 관계없이, 병원명, 요양기관번호, 의사명, 의사면허번호, 분만예정일, 다태아 여부 등 기재되어 있는 서류를 말함  3. 외국인등록 사실증명, 국내거소신고 사실증명 : 체류기간, 체류지(서울) 확인 ※ 행정정보공동이용을 통해 지원자격에 필요한 정보가 확인되지 않을 경우 구비서류 제출을 요구할 수 있음  <b class='font-size-4'>차감순서</b> 산후조리경비 우선 차감 카드 : 신한카드, 삼성카드, 비씨카드(IBK기업, 신협, 우체국, 새마을금고, NH농협국민행복카드) 첫만남 이용권 우선 차감 카드 : 우리카드 ※ 신한카드 : 건강관리포인트 → 산후조리포인트 → 가사서비스포인트 → 첫만남바우처 순으로 포인트 차감 ※ 2026. 1. 29  09:00 이후 사용분 부터 KB국민행복카드로 서울형 산후조리경비 지원과 첫만남이용권 지원금을 동시 보유한 경우  사용처가 겹치는 가맹점에서 결제 시 사용 기한이 더 짧은 산후조리경비 바우처가 우선차감 ※ 국민행복카드가 아닌 다른 카드로 결제할 경우 첫만남이용권과 별개로 바로 산후조리경비 바우처를 사용할 수 있습니다. (단, 신한카드, NH농협 BC카드는 국민행복카드만 사용가능)  예를 들어 KB국민카드로 산후조리경비 바우처를 지급받은 경우, KB국민카드에서 발급받은(국민행복카드가 아닌) 신용(체크)카드로 이용 시 첫만남 이용권과 별개로 산후조리경비 바우처로 사용됩니다.","1. 신청일 기준 주민등록상 또는 외국인등록 사실증명상 서울 거주 출산모 ? 대한민국 국적의 자녀를 출산한 서울 거주 외국인 출산모(※ 주민등록표 변동사유: '출생등록' 및 '가족관계등록부에 의거 신규등록') ? 미혼(비혼) 산모  2. 신청일 기준 출생자녀 서울 거주ㆍ대한민국 국민, 신청일 이전 자녀 주민등록상 서울시 출생신고 ※ 신청일 기준 출생아 주민등록표 변동사유 : 출생등록 및 가족관계등록부에 의거 신규등록  3. 미숙아 출산 등으로 입원, 임신 16주 이후 발생한 유산?사산 산모의 경우도 지원 (입퇴원일이 명시된 진단서, 입퇴원 확인서, 의사소견서, 사산(사태)증명서 등  추가서류 제출 필요)    ? (입원) 미숙아 출산 등으로 입원한 경우, 신생아 퇴원일로부터 180일 이내 신청    ? (유?사산) 다태아 유산?사산 산모의 경우 단태아 기준으로 지원   ※ 인공임신중절수술로 인한 유산의 경우 원칙적으로 지원 대상에서 제외    ? 단, 「모자보건법」 제14조 제1항에 따른 인공임신중절수술의 경우에는 지원 대상에 포함(의료기관에서 발급한 진단서 필수 제출)  <b>[인공임신중절수술관련 참고]</b> 모자보건법 시행령[시행 2025. 6. 21.] [대통령령 제35597호, 2025. 6. 20., 타법개정] 제15조(인공임신중절수술의 허용한계) ① 법 제14조에 따른 인공임신중절수술은 임신 24주일 이내인 사람만 할 수 있다. ② 법 제14조제1항제1호에 따라 인공임신중절수술을 할 수 있는 우생학적 또는 유전학적 정신장애나 신체질환은 연골무형성증, 낭성섬유증 및 그 밖의 유전성 질환으로서 그 질환이 태아에 미치는 위험성이 높은 질환으로 한다. ③ 법 제14조제1항제2호에 따라 인공임신중절수술을 할 수 있는 전염성 질환은 풍진, 톡소플라즈마증 및 그 밖에 의학적으로 태아에 미치는 위험성이 높은 전염성 질환으로 한다. [전문개정 2009. 7. 7.]  ※ 생명윤리 및 안전에 관한 법률 시행령 [시행 2025. 10. 1.] [대통령령 제35811호, 2025. 10. 1., 타법개정]    ?  생명윤리 및 안전에 관한 법률 시행령 [별표 3]  <a href=https://www.law.go.kr/lsBylInfoPLinkR.do?bylCls=BE&lsNm=%EC%83%9D%EB%AA%85%EC%9C%A4%EB%A6%AC+%EB%B0%8F+%EC%95%88%EC%A0%84%EC%97%90+%EA%B4%80%ED%95%9C+%EB%B2%95%EB%A5%A0+%EC%8B%9C%ED%96%89%EB%A0%B9&bylNo=0003&bylBrNo=00 target=new>  → <b class='font-color-primary'>더보기</b></a>    ?  배아?태아 대상 유전자검사 질환 공고(보건복지부 공고 제2026-278호) → <a href=https://www.mohw.go.kr/board.es?mid=a10501010100&bid=0003&act=view&list_no=1489922&tag=&nPage=1 target=new><b class='font-color-primary'>더보기</b></a>","산모?신생아 건강관리, 의약품 및 건강식품구매, 한약조제(한약방, 한의원), 산후운동, 심리상담관련 산후조리경비 지원 * 협약카드사 가맹점에서 사용 시 바우처 차감  * 신한카드(국민행복카드만 신청가능), 삼성카드, KB국민카드, 우리카드, BC카드(IBK기업은행, 신협, 새마을금고, 우체국, NH농협 BC국민행복카드)","","거주지 동주민센터 또는 다산콜센터 120","연령무관","출산 - 돌봄지원","서울시",".","."
"출산","생활지원"," ","국민연금출산크레딧","자녀 수에 따라 국민연금 가입기간 추가 인정(최대 50개월)","2008년 이후 둘째 이상 자녀를 출산한 국민연금 가입자","","","국민연금공단","연령무관","출산 - 생활지원","서울시",".","."
"육아","건강지원"," ","인플루엔자 국가예방접종 지원사업","인플루엔자 예방접종 1회 무료","임산부, 생후 6개월~13세 어린이","","","보건소","연령무관","육아 - 건강지원","서울시",".","."
"육아","생활지원"," ","다자녀 가구 하수도사용료 감면","하수도 사용료 30% 감면","미성년 자녀 3명 이상 서울 거주 가구","","","주민센터","연령무관","육아 - 생활지원","서울시",".","."
"육아","돌봄지원"," ","학부모온누리","학부모 교육?정책?정보 통합 제공","자녀 양육 중인 모든 학부모","","","학부모온누리","연령무관","육아 - 돌봄지원","서울시",".","."
"육아","교육지원"," ","서울시교육청 수익자부담경비 취약계층 지원","(서울특별시 내 초중고에 재학하는 저소득 가구 학생/수익자부담경비 지원/주민센터, 복지로 온라인 신청)","","","","서울특별시 교육청","연령무관","육아 - 교육지원","서울시",".","."
"출산","건강지원"," ","산모?신생아 건강관리 서비스 지원","- 산모와 신생아 건강관리사가 일정기간 출산가정을 방문하여 산후관리를 도와주는 산모신생아 서비스 이용권 지급  ㆍ산모 지원: 위생?부종?영양관리, 식사준비, 산모신생아 주생활 공간 청소 세탁 등  ㆍ신생아 지원: 수유 지원, 청결관리, 예방접종 지원 등","<지원대상> 서울시에 주민등록 또는 외국인 등록을 둔 출산가정  <선정기준> 1. 기본지원 대상 : 기준중위소득 150%이하 출산가정 2. 예외지원 대상 : 쌍생아 이상 출산가정 / 둘째아 이상 출산가정 / 희귀난치성질환 산모 / 장애인 산모 및 장애 신생아 / 새터민 산모 / 결혼이민 산모 / 미혼모 산모 / 중위소득 150 초과 출산가정","○ (온라인 신청) 복지로(www.bokjiro.go.kr)  및 서울시 임신?출산 정보센터(복지로 사이트 연결) ○ (방문신청) 산모의 주민등록 주소지의 보건소    ※ 온라인 신청이 불가능한 경우      - 외국국적의 가구원이 있는 경우      - 산모 또는 배우자가 가구원이 아닌 다른 사람의 피부양자로 등재되어 있는 경우      - 배우자가 없는 산모의 경우","","주소지 보건소 산모,신생아 건강관리 담당","연령무관","출산 - 건강지원","서울시","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001188","https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001188"
"육아","돌봄지원"," ","지역아동센터 긴급?일시돌봄","아동보호(일상생활, 학습지도, 급식제공), 정서지원, 문화체험활동 등 돌봄 제공","18세미만 아동(초,중,고등학생)","동주민센터, 해당지역아동센터에 돌봄서비스 신청","09:00~20:00(평일-센터별 상이)","해당지역아동센터, 구청","연령무관","육아 - 돌봄지원","서울시","https://icare.seoul.go.kr/icare/user/fcltyInfoManage/BD_selectLocalCenterContactList.do?q_tap=1","."
"육아","교육지원"," ","다둥이 행복카드 지원","- 다둥이 행복카드 감면시설, 협력업체 이용시 카드 제시 또는 결제","- 서울시에 주민등록이 되어있는 2자녀 이상을 둔 가정(막내가 18세 이하)","○ 카드 유형별 구분  - 신한카드 (신용 및 체크카드) 신한카드 또는 신한은행 홈페이지, 서울지역 신한은행 영업점  - 우리카드 (신용카드) 우리카드 홈페이지, 앱 (체크카드) 서울지역 우리은행 영업점 방문  - 신분확인용 카드(앱카드) : 앱스토어에서 “서울지갑” 다운로드 후 가입, 발급앱스토어에서 “서울지갑” 검색 후 설치, 실행 → 서울지갑 회원가입 및 로그인       → ‘모바일카드’ 클릭하여 카드발급 → ‘모바일카드 관리’ 페이지에서 즐겨찾기 → 메인화면에서 ‘다둥이행복카드’ 클릭 → “다둥이행복카드” 보여주고 혜택받기","- 각 감면시설, 협력업체 이용시간 내","신용 및 체크카드(신한카드사) : 1544-7000 신용 및 체크카드(우리카드사) : 1588-9955 그외 신분용카드 : 02) 120","연령무관","육아 - 교육지원","서울시","https://news.seoul.go.kr/welfare/archives/100261?tr_code=short","."
"육아","생활지원"," ","서울키즈 오케이존","아이와 양육자가 환영받고 편하게 외식할 수 있도록 음식점 및 카페 등을 대상으로‘서울키즈 오케이존’ 지정 (대상업소들의 자율적 동참) 지정업체는 아이를 환영하는 가게 라는 것을 알 수 있도록 식별마크 부착 및 아이의자, 아이식기 등 식사 도움용품 구비","영유아 및 아이 동반 양육자","서울키즈 오케이존 찾기: 서울키즈오케이존 소개 페이지 및 스마트서울맵을 통해 검색 후 방문","","서울시 저출생담당관(02-2133-5030)","연령무관","육아 - 생활지원","서울시","https://umppa.seoul.go.kr/hmpg/biz/aply/mng/kiokListPage.do","https://umppa.seoul.go.kr/hmpg/kiok/appl/applAgreRegistForm.do"
"임신","교육지원"," ","취약계층 실종아동 보호 및 지원","(실종아동, 실종 장애인(지적?자폐성?정신)과 그 가족/실종아동등 가족지원, 실종?유괴예방 교육 등의 서비스를 제공)","","","","아동권리보장원","연령무관","임신 - 교육지원","서울시",".","."
"육아","돌봄지원"," ","초?중?고 입학준비금 지원","입학준비금 20만원 포인트 지급","서울 소재 초?중?고 신입생","","","제로페이 마이데이터","연령무관","육아 - 돌봄지원","서울시",".","."
"결혼","생활지원"," ","더 아름다운 결혼식 비품비 지원","? 사업목적 : 예비 신혼부부의 결혼비용 부담을 완화하여 저출생 위기극복에 기여할 수  있도록 결혼식 비품비 지원 ? 지원내용 : 서울시 지정 공공예식장에서 결혼하는 서울거주 예비 신혼부부 1쌍당 결혼식 비품비 100만원 지원 ? 예산규모 : 400백만원(공공예식장에서 결혼한 예비부부 400쌍) ? 지급방식 : 협약된 신용(체크)카드 중 사용자가 선택한 카드에 바우처 지급    - 이용자가 온라인 홈페이지 등에 직접 신청하고, 자격 확인 및 결정을 거쳐 카드사를 통해 이용권 지급, 매월 카드사와 사후정산 ? 용도 및 사용기한 : 결혼식 비용 결제시 협약업체에서 사용     - (협약업체) 서울시 더 아름다운 결혼식 진행 전문업체 (15개)","","","","가족담당관 허광수 주무관 2133-6546","연령무관","결혼 - 생활지원","서울시",".","."
"임신","건강지원"," ","건강보험 임신?출산 진료비 지원","임신 1회당 진료비 100만원(다태아 140만원) 지원","임신?출산(유산?사산 포함) 건강보험 가입자","","","국민건강보험공단 사회서비스전자바우처","연령무관","임신 - 건강지원","서울시",".","."
"출산","건강지원"," ","의료급여 임신,출산진료비 취약계층 지원","(의료급여 수급자 중 임신 중이거나 출산(유산 및 사산 포함)한 수급권자 및 출생일로부터 2세 미만의 자녀 지원/임신?출산 진료비 100만원 지급(다태아는 태아당 100만원)/주민센터, 복지로 온라인 신청)","","","","보건복지부","연령무관","출산 - 건강지원","서울시",".","."
"육아","돌봄지원"," ","365열린어린이집","긴급 보육 필요시 심야, 휴일에도(24시간) 보육서비스 제공","6개월 이상 7세 이하 미취학 영유아(부모 또는 조부모 중 한 명 이상이 서울시에 거주하거나, 부모의 직장이 서울시인 경우)","이용 1일전까지 서울시보육포털서비스에서 신청(긴급 시 당일 방문?유선접수 가능)","365일 24시간(단, 1.1., 설?추석연휴, 5.5. 제외)","서울시 영유아담당관(02-2133-5116)","연령무관","육아 - 돌봄지원","서울시","https://iseoul.seoul.go.kr/portal/reservation/dailyOpenPreschoolMiddle.do","https://iseoul.seoul.go.kr/portal/reservation/dailyOpenPreschoolList.do"
"육아","돌봄인프라"," ","육아 지원 코디네이터 운영(사업종료)","양육자 및 예비 양육자 대상 맞춤형 육아정보 제공 및 육아자원 발굴?연계, 육아상담 등 지원","만5세 이하 영유아 양육가정 및 출산예정 가정","본 사업은 2023년에 종료되었습니다.","","다산콜센터(120번→3번),  자치구 육아종합지원센터","0세 ~ 5세","육아 - 돌봄인프라","서울시",".","."
"육아","돌봄지원"," ","거점형 야간보육","야간연장보육 필요한 타원아동에 대한 보육서비스 제공","가정양육아동을 포함한 모든 미취학 영유아","이용당일 오후1시까지 서울시보육포털서비스에서 신청","평일 16:00~22:00(종료시간 어린이집별 상이)","서울시 영유아담당관(02-2133-5116)","연령무관","육아 - 돌봄지원","서울시","https://iseoul.seoul.go.kr/portal/reservation/baseExtendInfo.do","https://iseoul.seoul.go.kr/portal/reservation/baseExtendList.do"
"결혼","주거지원"," ","신혼희망타운","신혼희망타운 분양?임대주택 공급 및 청약 자격 제공","신혼부부, 예비신혼부부, 한부모가족 등","","","LH청약플러스","연령무관","결혼 - 주거지원","서울시",".","."
"출산","건강지원"," ","B형 간염 수직감염 예방","면역글로불린, 예방접종, 항원?항체 검사비 지원","B형 간염 산모에서 출생한 영아","","","보건소","연령무관","출산 - 건강지원","서울시",".","."
"육아","교육지원"," ","긴급복지 교육 취약계층 지원","(주소득자의 사망, 휴?폐업, 실직 등으로 생계가 어렵거나, 중한 질병으로 수술 받을 때, 화재?경매 등으로 거주지에서 생활 곤란 등- (소득) 최저생계비 150%이하(4인기준 245만원)(단, 생계지원은 120%이하(4인기준 196만원))/초등 21만원, 중등 33만원, 고등 40만원 (고등학교 수업료?입학금 포함 가능) 최대 2회/주민센터 신청)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"육아","교육지원"," ","학교우유급식 취약계층 지원","(국민기초생활수급자, 차상위계층 가구, 한부모가족, 특수교육대상자,교육비지원대상자,국가요공자 자녀/연간 250일 내외로 우유를 무상지원(지원한도: 530원/개)/학교 신청)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"육아","생활지원"," ","통합문화이용권 취약계층 지원","(기초생활수급자 및 차상위계층 6세 이상/ 문화예술 ? 여행 ? 체육의 다양한 분야 1인당 연간 14만원/주민센터 신청)","","","","","연령무관","육아 - 생활지원","서울시",".","."
"육아","교육지원"," ","취약계층 실종아동 등 보호 및 지원","('실종당시 18세 미만 아동, 실종장애인(지적?자폐성?정신)과 그 가족을 지원/실종아동전문기관을 통해서 실종이나 유괴를 예방할 수 있는 방문교육을 실시,시설보호아동 등의 신상카드 접수 및 열람,기타 실종가족지원 등의 서비스를 제공)","","","","","연령무관","육아 - 교육지원","서울시",".","."
"육아","돌봄인프라"," ","공동육아방(사업종료)","부모 참여형 다양한 놀이 프로그램 운영, 육아정보 제공 및 상담 등","6세이하 영유아 및 보호자","인터넷 및 전화예약 후 시설이용 (자치구 육아종합지원센터)","월~금 09:00~18:00 (시설별 상이)","자치구 육아종합지원센터","0세 ~ 6세","육아 - 돌봄인프라","서울시","https://icare.seoul.go.kr/icare/user/fcltyInfoManage/BD_selectCopertnChldcrContactList.do?q_svcClCode=1002&q_tap=1","."
"육아","가사지원"," ","외국인 가사관리사 시범사업(사업종료)","서울지역 맞벌이 가구 등을 대상으로 외국인 가사관리사가 양육가정의 가사와 육아를 제공하는 서비스 - (서비스 유형) 시간제(4?6시간), 종일제(8시간)    * 이용가능일 : 월~금, 이용가능시간 : 08:00~20:00 - (서비스 내용) 외국인 가사관리사가 출퇴근 하면서 자녀돌봄 및 그와 관련된 가사활동 제공","만 12세(2012.1.1.이후 출생)이하 자녀를 두었거나 출산 예정인 가정 ※ 한부모, 다자녀, 맞벌이, 임신부가 있는 가정 우선 이용자 선정","서비스 제공기관 홈페이지(홈스토리생활, 휴브리스)에서 상시신청","o 운영기간    - (1차시범) 2024.9.3 ~ 2025.2.28., 6개월   - (시범연장) 2025.3.~","서울시 다산콜센터(02-120)","0세 ~ 12세","육아 - 가사지원","서울시","https://umppa.seoul.go.kr/hmpg/chpo/noti/bordContDetail.do?mode=W&bbs_no=1&pst_no=1D54BCF35A2A35A3E063A602216284C6","."
"결혼","주거지원"," ","마이홈포털","주거복지 통합정보 제공 및 대출?임대?주택정책 안내","예비신혼부부, 청년, 무주택가구 등","","","마이홈포털","연령무관","결혼 - 주거지원","서울시",".","."
"결혼","주거지원"," ","신혼부부 전용 주택 구입 자금 대출","연 2.55~3.85% 금리로 주택구입 자금 대출, 최대 3억 2천만 원 한도","무주택 세대주 신혼부부, 생애최초 주택구입자 등","","","주택도시기금","연령무관","결혼 - 주거지원","서울시",".","."
"결혼","주거지원"," ","청년안심주택","역세권 중심 임대주택 공급 및 청약 신청 자격 제공","청년, 신혼부부 등","","","SH인터넷청약시스템","연령무관","결혼 - 주거지원","서울시",".","."
"결혼","생활지원"," ","예비부부교실","건강한 결혼생활을 위한 교육 및 강의 프로그램 제공","예비부부, 신혼부부","","","패밀리서울","연령무관","결혼 - 생활지원","서울시",".","."
"결혼","생활지원"," ","서울시 공공예식장","공공예식장 대관료 무료 지원","서울시 거주자 또는 생활권자","","","더 아름다운 결혼식","연령무관","결혼 - 생활지원","서울시",".","."
"결혼","생활지원"," ","서울시 공공예식장 비품비 지원","결혼식 비품비 최대 100만 원 지원","서울시 거주자 또는 생활권자","","","더 아름다운 결혼식","연령무관","결혼 - 생활지원","서울시",".","."
"출산","생활지원"," ","산모 ? 신생아 건강관리 취약계층 지원사업","(국내에 주민등록(주민등록을 한 재외국민 포함) 또는 외국인 등록을 출산 가정/산모건강관리, 산모 식사준비, 산모?신생아 세탁물 관리 및 청소 등)","","","","보건복지부 출산정책과","연령무관","출산 - 생활지원","서울시",".","."
"출산","건강지원"," ","긴급복지 해산비 취약계층 지원","(생계,의료,주거급여 수급자가 출산한 경우(출산예정 포함)/1인당 70만원(쌍둥이 140만원)현금 지급/주민센터 신청)","","","","건복지부","연령무관","출산 - 건강지원","서울시",".","."
"출산","건강지원"," ","의료급여(요양비) 취약계층 지원","(수급권자/의료급여기관 외의 장소에서 출산을 한 때에 그 의료급여에 상당하는 금액을 수급권자에게 요양비로 지급/주민센터, 복지로 온라인 신청)","","","","건복지부","연령무관","출산 - 건강지원","서울시",".","."
"출산","건강지원"," ","의료급여수급권자 영유아건강검진비 취약계층 지원","(만 6세 미만 영유아(의료급여수급권자)/영유아 건강검진 서비스 지원/검진기관 방문)","","","","국민건강보험공단","연령무관","출산 - 건강지원","서울시",".","."
"결혼","생활지원"," ","서울시 주요시설을 활용한 ＜더 아름다운 결혼식＞","공공예식장 제공 및 결혼 컨셉기획부터 예식까지 종합 서비스 지원","서울시 거주자 또는 생활권자인 (예비)부부","상담사와 사전상담 후 예식공간별 전담 플래너 업체와 종합상담을 통해 계약 ? 온라인상담예약 : 서울가족포털(패밀리서울) ‘서울시 주요시설을 활용한 결혼식’ 웹페이지 ? 전화상담 : 1899-2154 (둘(2)이 하나(1)되어 오(5)래 사(4)세요)","","서울시 가족담당관(02-2133-6546)","연령무관","결혼 - 생활지원","서울시","https://familyseoul.or.kr/wedding","https://familyseoul.or.kr/wedding"
"출산","양육교육"," ","엄마 북돋움","엄마 북(Book)돋움 책꾸러미 상자 배송 (엄마아빠 육아정보도서 1권, 우리아이 첫책(그림책) 2권, 시 육아정책정보, 엄마 북돋움 에코백)","서울시 거주 임산부(임신 3개월 ~ 출산 3개월)","ㅇ 임산부   - 임산부교통비지원 시스템에서 직접 온라인 신청 ㅇ 그 외(시스템 이용이 불가한 경우)   - 교통비를 지원받지 못한 임산부, 조손가정, 父子가정 등은 서울도서관에서 별도 이메일 신청(http://lib.seoul.go.kr/bbs/content/3_58729)","","서울도서관 도서관정책과(02-2133-0224)","연령무관","출산 - 양육교육","서울시","https://lib.seoul.go.kr/rwww/html/ko/bookUp.jsp","https://www.seoulmomcare.com"
